filename,status,cache_size,block_size,associativity,access_time,cycle_time,read_energy,write_energy,leakage_power,area_mm2,efficiency,sets,banks
resultado_2048_128_0.out,invalid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_128_1.out,valid,2048.0,128.0,1.0,0.87201,1.46336,0.0156055,0.0,0.0262125,0.0030588584315,0.5958957467745463,N/A,1.0
resultado_2048_128_16.out,invalid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_128_2.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_128_4.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_128_8.out,invalid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_32_0.out,valid,2048.0,32.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0
resultado_2048_32_1.out,valid,2048.0,32.0,1.0,0.87201,1.46336,0.0156055,0.0,0.0262125,0.0037852983440499997,0.5958957467745463,N/A,1.0
resultado_2048_32_16.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_32_2.out,valid,2048.0,32.0,2.0,0.843272,1.20361,0.0263623,0.0126813,0.0371656,0.012941442344,0.7006189712614551,N/A,1.0
resultado_2048_32_4.out,valid,2048.0,32.0,4.0,1.15395,1.74004,0.0353564,0.0208389,0.0491501,0.022280875920000002,0.6631744097836831,N/A,1.0
resultado_2048_32_8.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_64_0.out,valid,2048.0,64.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0
resultado_2048_64_1.out,valid,2048.0,64.0,1.0,0.87201,1.46336,0.0156055,0.0,0.0262125,0.0037968586825099996,0.5958957467745463,N/A,1.0
resultado_2048_64_16.out,invalid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_64_2.out,valid,2048.0,64.0,2.0,0.843272,1.20361,0.0263623,0.0126813,0.0371656,0.012723495735000001,0.7006189712614551,N/A,1.0
resultado_2048_64_4.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
resultado_2048_64_8.out,error,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
